,model_name,threshold_pw,iou_threshold,norm_distance_mean,norm_distance_std,pk
0,16s,0.1,0.5,5.265806236587386,6.533785527356307,16s0.10.5
1,16s,0.2,0.5,3.3692414892443283,4.670470626556189,16s0.20.5
2,16s,0.3,0.5,2.713293246525633,4.160642028725553,16s0.30.5
3,16s,0.4,0.5,3.798250472520304,5.0826552843516355,16s0.40.5
4,16s,0.5,0.5,1.1920785317419358,0.743783567504286,16s0.50.5
5,16s,0.6,0.5,1.1020516664380677,0.6499381794806468,16s0.60.5
6,16s,0.7,0.5,1.3351795047696275,0.6474784257354715,16s0.70.5
7,16s,0.8,0.5,1.2837238442567915,0.9482747288525966,16s0.80.5
8,16s,0.9,0.5,1.325508690736913,0.8959557295323353,16s0.90.5
9,32s,0.1,0.5,4.62060357182399,5.589285745035453,32s0.10.5
10,32s,0.2,0.5,4.331943130669993,6.172575843467788,32s0.20.5
11,32s,0.3,0.5,3.6781119067630215,5.617727320947043,32s0.30.5
12,32s,0.4,0.5,3.2381817380917886,5.3430718052486,32s0.40.5
13,32s,0.5,0.5,3.1772691310345067,5.145217445583651,32s0.50.5
14,32s,0.6,0.5,2.9523235801313437,4.364510389108965,32s0.60.5
15,32s,0.7,0.5,3.0952028643694662,4.142739340774217,32s0.70.5
16,32s,0.8,0.5,3.198561848688109,4.948601122966902,32s0.80.5
17,32s,0.9,0.5,3.1535624966085036,4.799498265107198,32s0.90.5
18,8s,0.1,0.5,7.60546388541712,7.539808182670964,8s0.10.5
19,8s,0.2,0.5,4.726986621653407,5.4483640227436485,8s0.20.5
20,8s,0.3,0.5,3.979567884473612,4.740946373736522,8s0.30.5
21,8s,0.4,0.5,3.543366273321329,4.466714216617768,8s0.40.5
22,8s,0.5,0.5,3.7227387138786816,4.6431642684117955,8s0.50.5
23,8s,0.6,0.5,4.0093291198672025,5.222187101906524,8s0.60.5
24,8s,0.7,0.5,4.134963626347428,5.367878555255996,8s0.70.5
25,8s,0.8,0.5,3.0885193928782866,4.4990320668036,8s0.80.5
26,8s,0.9,0.5,3.8012956407393745,5.657677073121831,8s0.90.5
27,sw_1000px,1.0,0.5,8.204035012329896,5.217971445020572,sw_1000px1.00.5
28,sw_1000px,2.0,0.5,8.036128169727496,4.713750356501618,sw_1000px2.00.5
29,sw_1000px,3.0,0.5,7.429927360712345,4.83611584729433,sw_1000px3.00.5
30,sw_1000px,4.0,0.5,7.154805776108087,5.199396472531596,sw_1000px4.00.5
31,sw_100px,1.0,0.5,7.678021545795617,6.021222073000089,sw_100px1.00.5
32,sw_100px,2.0,0.5,6.993381262570769,5.912542644816823,sw_100px2.00.5
33,sw_100px,3.0,0.5,6.046300968484442,5.906368515698821,sw_100px3.00.5
34,sw_100px,4.0,0.5,5.968836939500502,6.506861480546635,sw_100px4.00.5
35,sw_200px,1.0,0.5,7.562103698023502,5.348322920655964,sw_200px1.00.5
36,sw_200px,2.0,0.5,8.532124472623089,5.947446140417785,sw_200px2.00.5
37,sw_200px,3.0,0.5,8.92767278899574,6.238213966810256,sw_200px3.00.5
38,sw_200px,4.0,0.5,8.68220134900796,6.577415439376501,sw_200px4.00.5
39,sw_300px,1.0,0.5,6.83440666175183,4.43715821101686,sw_300px1.00.5
40,sw_300px,2.0,0.5,8.386920301701723,5.360386344716458,sw_300px2.00.5
41,sw_300px,3.0,0.5,9.35378306025017,5.887378041168836,sw_300px3.00.5
42,sw_300px,4.0,0.5,9.457248127359419,6.461384755199636,sw_300px4.00.5
43,sw_400px,1.0,0.5,7.119735213314302,4.1518302489570615,sw_400px1.00.5
44,sw_400px,2.0,0.5,7.836806965206471,4.843128090485184,sw_400px2.00.5
45,sw_400px,3.0,0.5,9.046618196229906,5.348237376564734,sw_400px3.00.5
46,sw_400px,4.0,0.5,9.810574754621225,5.823875683426979,sw_400px4.00.5
47,sw_500px,1.0,0.5,7.222510736861998,4.044843063192484,sw_500px1.00.5
48,sw_500px,2.0,0.5,7.58276967312341,4.396779461495521,sw_500px2.00.5
49,sw_500px,3.0,0.5,8.307476170940104,4.940980982792304,sw_500px3.00.5
50,sw_500px,4.0,0.5,9.534487545166684,5.76256301970977,sw_500px4.00.5
51,sw_600px,1.0,0.5,7.948819795769806,5.110640293420631,sw_600px1.00.5
52,sw_600px,2.0,0.5,7.939581657043426,4.391085886723152,sw_600px2.00.5
53,sw_600px,3.0,0.5,8.469897387224345,4.778440762120563,sw_600px3.00.5
54,sw_600px,4.0,0.5,8.568930667520902,5.442557061842406,sw_600px4.00.5
55,sw_700px,1.0,0.5,8.009386499240751,5.11947835651748,sw_700px1.00.5
56,sw_700px,2.0,0.5,7.695512467621009,4.338610894405309,sw_700px2.00.5
57,sw_700px,3.0,0.5,8.097880206025742,4.792212261527711,sw_700px3.00.5
58,sw_700px,4.0,0.5,8.16263633328406,5.287093599217546,sw_700px4.00.5
59,sw_800px,1.0,0.5,8.145822783827349,5.250849142015907,sw_800px1.00.5
60,sw_800px,2.0,0.5,7.698777359520196,3.8406053919070375,sw_800px2.00.5
61,sw_800px,3.0,0.5,8.09004038953697,4.708869764506058,sw_800px3.00.5
62,sw_800px,4.0,0.5,8.242159825409747,5.39479993122791,sw_800px4.00.5
63,sw_900px,1.0,0.5,8.306184654454524,5.185512230754425,sw_900px1.00.5
64,sw_900px,2.0,0.5,7.414012944610356,4.1078090482648735,sw_900px2.00.5
65,sw_900px,3.0,0.5,7.337321560477506,4.561633851692813,sw_900px3.00.5
66,sw_900px,4.0,0.5,7.902881270442566,5.010713123204514,sw_900px4.00.5
