,Unnamed: 0,architecture,model,threshold,precision,recall,F1
0,0,FCN,8s,0.1,0.43573667711598746,0.9928571428571428,0.6056644880174291
1,1,FCN,8s,0.2,0.6405529953917051,0.9928571428571428,0.7787114845938375
2,2,FCN,8s,0.3,0.6881188118811881,0.9928571428571428,0.8128654970760234
3,3,FCN,8s,0.4,0.7393617021276596,0.9928571428571428,0.8475609756097561
4,4,FCN,8s,0.5,0.7540983606557377,0.9857142857142858,0.8544891640866873
5,5,FCN,8s,0.6,0.8117647058823529,0.9857142857142858,0.8903225806451613
6,6,FCN,8s,0.7,0.8404907975460123,0.9856115107913668,0.9072847682119205
7,7,FCN,8s,0.8,0.8456790123456791,0.9785714285714284,0.9072847682119206
8,8,FCN,8s,0.9,0.9006622516556292,0.9714285714285714,0.9347079037800687
9,9,FCN,16s,0.1,0.7128205128205128,1.0,0.8323353293413174
10,10,FCN,16s,0.2,0.8214285714285714,0.9928057553956836,0.8990228013029316
11,11,FCN,16s,0.3,0.8726114649681529,0.9856115107913668,0.9256756756756757
12,12,FCN,16s,0.4,0.8701298701298701,0.9640287769784172,0.9146757679180887
13,13,FCN,16s,0.5,0.9109589041095891,0.9568345323741008,0.9333333333333333
14,14,FCN,16s,0.6,0.9562043795620438,0.9357142857142856,0.9458483754512634
15,15,FCN,16s,0.7,0.9485294117647058,0.9214285714285714,0.934782608695652
16,16,FCN,16s,0.8,0.9772727272727272,0.9214285714285714,0.9485294117647058
17,17,FCN,16s,0.9,0.9770992366412212,0.9142857142857144,0.9446494464944649
18,18,FCN,32s,0.1,0.35353535353535354,1.0,0.5223880597014925
19,19,FCN,32s,0.2,0.509090909090909,1.0,0.6746987951807228
20,20,FCN,32s,0.3,0.498220640569395,1.0,0.665083135391924
21,21,FCN,32s,0.4,0.6069868995633187,0.9928571428571428,0.7533875338753387
22,22,FCN,32s,0.5,0.6052631578947368,0.9928057553956836,0.7520435967302452
23,23,FCN,32s,0.6,0.685,0.9927536231884058,0.8106508875739645
24,24,FCN,32s,0.7,0.7569060773480663,0.9856115107913668,0.85625
25,25,FCN,32s,0.8,0.7683615819209041,0.9784172661870504,0.8607594936708862
26,26,FCN,32s,0.9,0.8220858895705522,0.9640287769784172,0.8874172185430463
27,27,SW,sw_100px,1.0,0.09422283356258596,1.0,0.17221873035826524
28,28,SW,sw_100px,2.0,0.1169284467713787,0.9640287769784172,0.2085603112840467
29,29,SW,sw_100px,3.0,0.14645858343337334,0.931297709923664,0.25311203319502074
30,30,SW,sw_100px,4.0,0.1954225352112676,0.8740157480314961,0.3194244604316547
31,31,SW,sw_200px,1.0,0.19971469329529246,1.0,0.3329369797859691
32,32,SW,sw_200px,2.0,0.21664050235478807,0.9857142857142858,0.3552123552123552
33,33,SW,sw_200px,3.0,0.2598870056497175,0.9857142857142858,0.4113263785394933
34,34,SW,sw_200px,4.0,0.3004807692307692,0.9398496240601504,0.4553734061930783
35,35,SW,sw_300px,1.0,0.2688588007736944,1.0,0.4237804878048781
36,36,SW,sw_300px,2.0,0.2907949790794979,0.9928571428571428,0.44983818770226536
37,37,SW,sw_300px,3.0,0.2942477876106195,0.9925373134328358,0.45392491467576795
38,38,SW,sw_300px,4.0,0.3527777777777778,0.9548872180451128,0.515212981744422
39,39,SW,sw_400px,1.0,0.3271028037383177,1.0,0.49295774647887314
40,40,SW,sw_400px,2.0,0.3458646616541353,1.0,0.5139664804469274
41,41,SW,sw_400px,3.0,0.3809523809523809,0.9927007299270072,0.5506072874493926
42,42,SW,sw_400px,4.0,0.3895705521472393,0.9694656488549618,0.5557986870897156
43,43,SW,sw_500px,1.0,0.4017341040462428,1.0,0.5731958762886599
44,44,SW,sw_500px,2.0,0.3863636363636364,1.0,0.5573770491803279
45,45,SW,sw_500px,3.0,0.415335463258786,0.9848484848484848,0.5842696629213484
46,46,SW,sw_500px,4.0,0.4070175438596491,0.9279999999999999,0.5658536585365853
47,47,SW,sw_600px,1.0,0.4349206349206349,1.0,0.6061946902654867
48,48,SW,sw_600px,2.0,0.4166666666666667,1.0,0.5882352941176471
49,49,SW,sw_600px,3.0,0.3853211009174312,0.984375,0.553846153846154
50,50,SW,sw_600px,4.0,0.3879598662207358,0.9508196721311476,0.5510688836104514
51,51,SW,sw_700px,1.0,0.5055350553505535,1.0,0.6715686274509804
52,52,SW,sw_700px,2.0,0.4429530201342282,0.9924812030075189,0.6125290023201856
53,53,SW,sw_700px,3.0,0.4086021505376344,0.95,0.5714285714285714
54,54,SW,sw_700px,4.0,0.37890625,0.8362068965517241,0.521505376344086
55,55,SW,sw_800px,1.0,0.5672268907563025,1.0,0.7238605898123325
56,56,SW,sw_800px,2.0,0.49609375,0.9921875,0.6614583333333334
57,57,SW,sw_800px,3.0,0.3992805755395684,0.9327731092436976,0.5591939546599497
58,58,SW,sw_800px,4.0,0.3632958801498127,0.8738738738738738,0.5132275132275131
59,59,SW,sw_900px,1.0,0.6428571428571429,1.0,0.782608695652174
60,60,SW,sw_900px,2.0,0.5313807531380753,0.9921875,0.6920980926430517
61,61,SW,sw_900px,3.0,0.4224806201550387,0.923728813559322,0.5797872340425532
62,62,SW,sw_900px,4.0,0.359375,0.8141592920353983,0.49864498644986455
63,63,SW,sw_1000px,1.0,0.6700507614213198,1.0,0.8024316109422492
64,64,SW,sw_1000px,2.0,0.5666666666666667,0.9834710743801652,0.7190332326283988
65,65,SW,sw_1000px,3.0,0.4545454545454545,0.8849557522123894,0.6006006006006005
66,66,SW,sw_1000px,4.0,0.3580786026200873,0.7592592592592593,0.486646884272997
