model_name,mask_name,mask_x,mask_y,component_x,component_y,pixel_distance,norm_distance,prediction_area,gt_area,component_area,component_relative_area,component_intersection,component_union,component_iou,component_pw_recall,component_pw_precision,metric,threshold_pw,dice,fpr,dice_joint,component_precision_joint,component_recall_joint,relative_area_to_gt
8s,0.10624.jpg,464.0,540.0,406.76693404634585,19.172014260249554,523.9631805462872,4.9294511374018,30295.0,10722,2244.0,0.07407162898168014,0.0,12966.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.10374240077668108,0.0,0.0,0.0,0.20928931169557918
8s,0.10624.jpg,464.0,540.0,364.0,76.0,474.65355787142266,4.465545686400379,30295.0,10722,1.0,3.300874731803928e-05,0.0,10723.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,4.875908137890682e-05,0.0,0.0,0.0,9.326618168252192e-05
8s,0.10624.jpg,464.0,540.0,327.25,220.08333333333331,347.9184331292481,3.2732202940746813,30295.0,10722,24.0,0.0007922099356329427,0.0,10746.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0011695621451719013,0.0,0.0,0.0,0.002238388360380526
8s,0.10624.jpg,464.0,540.0,351.5,356.0,215.66698866539588,2.02899730753646,30295.0,10722,8.0,0.00026406997854431423,0.0,10730.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0003900060938452164,0.0,0.0,0.0,0.0007461294534601753
8s,0.10624.jpg,464.0,540.0,601.5435610302352,726.3989548338933,231.65232902789,2.179387558526034,30295.0,10722,13395.0,0.44215217032513615,0.0,24117.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.4923546276556642,0.0,0.0,0.0,1.249300503637381
8s,0.10624.jpg,464.0,540.0,211.0,731.6666666666665,317.4037036820949,2.9861373970971736,30295.0,10722,6.0,0.0001980524839082357,0.0,10728.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0002925188308997392,0.0,0.0,0.0,0.0005595970900951316
8s,0.10624.jpg,464.0,540.0,188.3555359505955,763.6378473753862,354.95599352564795,3.33942973662444,30295.0,10722,2267.0,0.07483083016999505,0.0,12989.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.1047500231032252,0.0,0.0,0.0,0.21143443387427718
8s,0.10624.jpg,464.0,540.0,461.39700404858286,542.9504453441294,3.9345540600923465,0.03701632615953958,30295.0,10722,12350.0,0.4076580293777851,10585.0,12487.0,0.8476815888524065,0.9872225331094944,0.857085020242915,CORRECT_DETECTION,0.1,0.9175624133148405,,0.9175624133148405,0.857085020242915,0.9872225331094944,1.1518373437791456
8s,0.10585.jpg,468.5,603.0,664.3085279739272,486.212927756654,227.99166623034438,1.5153364010179142,41635.0,21199,3682.0,0.08843521076017774,0.0,24881.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.11071020506344338,0.0,0.0,0.0,0.1736874380867022
8s,0.10585.jpg,468.5,603.0,754.8333333333335,601.1875,286.33906987001933,1.9031398067387009,41635.0,21199,48.0,0.001152876185901285,0.0,21247.0,0.0,0.0,0.0,FALSE_ALARM,0.1,0.0,0.0015266689990776376,0.0,0.0,0.0,0.0022642577480069814
