,model_name,threshold_pw,iou_threshold,component_precision_joint_mean,component_precision_joint_std,component_recall_joint_mean,component_recall_joint_std,dice_joint_mean,dice_joint_std,pk
0,16s,0.1,0.5,0.7766741792543038,0.09787265349126628,0.9704274064674988,0.07384862286486074,0.8562660269633389,0.06321895665826885,16s0.10.5
1,16s,0.2,0.5,0.8270838824246196,0.09612146284875493,0.9593319978852412,0.07528638554561225,0.8820254379144843,0.05949124541296424,16s0.20.5
2,16s,0.3,0.5,0.8598656120413026,0.08931506210331376,0.9470614818404836,0.0811456104829742,0.8954722520870498,0.05746397949512433,16s0.30.5
3,16s,0.4,0.5,0.8859827954408921,0.08200429451175671,0.9330004194820949,0.08470036036750274,0.9034913689084157,0.05547402224113586,16s0.40.5
4,16s,0.5,0.5,0.9084688410254627,0.07482677958311944,0.9134056983262069,0.09579106985997947,0.905275784906003,0.05844899784527876,16s0.50.5
5,16s,0.6,0.5,0.9283928681554288,0.06743317410590159,0.8929988616397574,0.10232429560938565,0.9045349704323064,0.06045642960280576,16s0.60.5
6,16s,0.7,0.5,0.9456423433129426,0.06063563456401638,0.8720091598065646,0.1014538489769093,0.9019690014988663,0.05934813096221987,16s0.70.5
7,16s,0.8,0.5,0.9597615493145509,0.06089622189409596,0.8355174674264546,0.11117979398805444,0.8873891497551213,0.07023569391548105,16s0.80.5
8,16s,0.9,0.5,0.9809054275308374,0.036105728951917944,0.7851746087834792,0.10844716269990229,0.8669394330585141,0.06701659068207855,16s0.90.5
9,32s,0.1,0.5,0.7150529978200107,0.10111157580561443,0.9824759342712105,0.055347181573544874,0.821456744663937,0.06390478759095437,32s0.10.5
10,32s,0.2,0.5,0.7707995874458092,0.09916762424971137,0.9764314018103245,0.050417622541357336,0.8562173466518145,0.06181658005587969,32s0.20.5
11,32s,0.3,0.5,0.8103521152443499,0.10030709120962061,0.9609458584406406,0.06309692395104984,0.8734941489693328,0.06227039693670039,32s0.30.5
12,32s,0.4,0.5,0.8454032069099571,0.09620148761345097,0.9444465389350002,0.07700995781292748,0.8858454353178721,0.06109194869015426,32s0.40.5
