,model_name,threshold_pw,iou_threshold,relative_area_to_gt_mean,relative_area_to_gt_std,pk
0,16s,0.1,0.5,0.11578606425945763,0.441331986807263,16s0.10.5
1,16s,0.2,0.5,0.0926087693941012,0.2268904610511678,16s0.20.5
2,16s,0.3,0.5,0.07069433742042935,0.14022756991314486,16s0.30.5
3,16s,0.4,0.5,0.04150266696493558,0.08897590514911242,16s0.40.5
4,16s,0.5,0.5,0.04669407001937483,0.09303838949720779,16s0.50.5
5,16s,0.6,0.5,0.08061526529552926,0.11099934232975527,16s0.60.5
6,16s,0.7,0.5,0.05398662920787415,0.0958913253911713,16s0.70.5
7,16s,0.8,0.5,0.09806905072261857,0.12043001934390206,16s0.80.5
8,16s,0.9,0.5,0.07101564006704301,0.1104703790572994,16s0.90.5
9,32s,0.1,0.5,0.14203644328428106,0.6622290697849486,32s0.10.5
10,32s,0.2,0.5,0.16505492086805473,0.5531400407605248,32s0.20.5
11,32s,0.3,0.5,0.10458591269509603,0.3861502719354982,32s0.30.5
12,32s,0.4,0.5,0.12214505194386607,0.39018589227281714,32s0.40.5
13,32s,0.5,0.5,0.09800231953264087,0.3162634896436156,32s0.50.5
14,32s,0.6,0.5,0.11120550538278247,0.29573437122078156,32s0.60.5
15,32s,0.7,0.5,0.11742875207676694,0.26046110805366,32s0.70.5
16,32s,0.8,0.5,0.08139045706730597,0.18689545062954138,32s0.80.5
17,32s,0.9,0.5,0.05318684412058677,0.130052352991685,32s0.90.5
18,8s,0.1,0.5,0.17477503546243894,0.8082818917748998,8s0.10.5
19,8s,0.2,0.5,0.2855123183253506,0.880329615781311,8s0.20.5
20,8s,0.3,0.5,0.2751156754410394,0.7745935532281945,8s0.30.5
21,8s,0.4,0.5,0.2877840606209127,0.7626259212050598,8s0.40.5
22,8s,0.5,0.5,0.25630874020782624,0.6875157461731203,8s0.50.5
23,8s,0.6,0.5,0.2898050586115172,0.7012832001571941,8s0.60.5
24,8s,0.7,0.5,0.28547368710710974,0.6698293190975075,8s0.70.5
25,8s,0.8,0.5,0.23137055166527276,0.5749122664076047,8s0.80.5
26,8s,0.9,0.5,0.23790378583402694,0.5007840248503358,8s0.90.5
27,sw_1000px,1.0,0.5,55.83426296018962,83.53404890993613,sw_1000px1.00.5
28,sw_1000px,2.0,0.5,47.796457847891006,70.43290004744586,sw_1000px2.00.5
29,sw_1000px,3.0,0.5,22.703117282042083,37.33222443834016,sw_1000px3.00.5
30,sw_1000px,4.0,0.5,13.87272625002725,21.804903312117094,sw_1000px4.00.5
31,sw_100px,1.0,0.5,1.0802862592128217,3.19971815264796,sw_100px1.00.5
32,sw_100px,2.0,0.5,0.5407207412053227,1.5792285123115848,sw_100px2.00.5
33,sw_100px,3.0,0.5,0.33175119757293176,1.014096187416811,sw_100px3.00.5
34,sw_100px,4.0,0.5,0.22772867576160022,0.5899038253369068,sw_100px4.00.5
35,sw_200px,1.0,0.5,5.131583326523071,19.295352803836874,sw_200px1.00.5
36,sw_200px,2.0,0.5,3.2367207115167886,7.637309845976751,sw_200px2.00.5
37,sw_200px,3.0,0.5,1.7161438069435226,3.1445903633905883,sw_200px3.00.5
38,sw_200px,4.0,0.5,0.9961498879897968,1.7759530806348536,sw_200px4.00.5
39,sw_300px,1.0,0.5,7.794839399196882,20.50351496825315,sw_300px1.00.5
40,sw_300px,2.0,0.5,7.1253581797486545,19.76522332792798,sw_300px2.00.5
41,sw_300px,3.0,0.5,3.8242491375192618,6.783797518521702,sw_300px3.00.5
42,sw_300px,4.0,0.5,1.867386320771841,3.2200493211258285,sw_300px4.00.5
43,sw_400px,1.0,0.5,11.603712643900089,24.092070957249504,sw_400px1.00.5
44,sw_400px,2.0,0.5,9.64625815594741,26.491177775773135,sw_400px2.00.5
45,sw_400px,3.0,0.5,6.824541580397171,10.339625097634094,sw_400px3.00.5
46,sw_400px,4.0,0.5,3.5728876355373456,5.1293095510365605,sw_400px4.00.5
47,sw_500px,1.0,0.5,17.393782082279603,30.05673957251467,sw_500px1.00.5
48,sw_500px,2.0,0.5,17.211526289057353,39.118722763266106,sw_500px2.00.5
49,sw_500px,3.0,0.5,9.06214599117926,16.111464890438057,sw_500px3.00.5
50,sw_500px,4.0,0.5,5.903200026981423,8.429811714229198,sw_500px4.00.5
51,sw_600px,1.0,0.5,25.498405938438523,48.45910514364367,sw_600px1.00.5
52,sw_600px,2.0,0.5,20.630173511903465,38.89094087253287,sw_600px2.00.5
53,sw_600px,3.0,0.5,12.644159185536845,21.492598614789742,sw_600px3.00.5
54,sw_600px,4.0,0.5,6.603165416807465,9.846426014132355,sw_600px4.00.5
55,sw_700px,1.0,0.5,31.9662761570045,64.38922883170805,sw_700px1.00.5
56,sw_700px,2.0,0.5,25.92459971261257,47.32007090111595,sw_700px2.00.5
57,sw_700px,3.0,0.5,15.946625131367947,28.851120288594654,sw_700px3.00.5
58,sw_700px,4.0,0.5,8.746038800057068,14.0648232046288,sw_700px4.00.5
59,sw_800px,1.0,0.5,44.14469789177633,71.28885510003137,sw_800px1.00.5
60,sw_800px,2.0,0.5,31.795510088661356,51.8257478248705,sw_800px2.00.5
61,sw_800px,3.0,0.5,16.85211125648233,26.265778952653083,sw_800px3.00.5
62,sw_800px,4.0,0.5,8.058608109945887,13.495641408085824,sw_800px4.00.5
63,sw_900px,1.0,0.5,48.191883043322,80.35241842689761,sw_900px1.00.5
64,sw_900px,2.0,0.5,36.16311801256397,60.754271636863976,sw_900px2.00.5
65,sw_900px,3.0,0.5,18.840466856494498,30.21227400936629,sw_900px3.00.5
66,sw_900px,4.0,0.5,11.067429246044604,21.091750825366873,sw_900px4.00.5
