,model_name,threshold_pw,iou_threshold,component_precision_joint_mean,component_precision_joint_std,component_recall_joint_mean,component_recall_joint_std,dice_joint_mean,dice_joint_std,pk
0,16s,0.1,0.5,0.7225275239117718,0.3393423939477498,0.2610136619147737,0.3790785333501319,0.21416377971556816,0.2600913271034414,16s0.10.5
1,16s,0.2,0.5,0.7711796467950455,0.34887162455476595,0.19090350901302605,0.29966269166778353,0.19376481238622395,0.21684472433968613,16s0.20.5
2,16s,0.3,0.5,0.792679303499833,0.33795538323473795,0.2327459918321931,0.31846916269954006,0.24027547243147535,0.24644088356710078,16s0.30.5
3,16s,0.4,0.5,0.7856907635451831,0.3355442555527897,0.3203711524841117,0.3347610861235411,0.3334422871038757,0.2265931000431717,16s0.40.5
4,16s,0.5,0.5,0.8957452070979695,0.2198697486043296,0.23446651107961755,0.3352533200888028,0.23213748108750848,0.23025047544598523,16s0.50.5
5,16s,0.6,0.5,0.8928885014009549,0.21736609474529248,0.2687013335849148,0.34061357878943804,0.2751606736068627,0.25945941821819124,16s0.60.5
6,16s,0.7,0.5,0.913892092836587,0.183794489940114,0.3081890278341684,0.30151069314433804,0.3552726065542931,0.27752093011220064,16s0.70.5
7,16s,0.8,0.5,0.9626911257370728,0.12346588647022917,0.24156737001675632,0.2501183410014134,0.3148041419421079,0.2760993119988255,16s0.80.5
8,16s,0.9,0.5,0.9669138996475833,0.10071396386071159,0.22348055279161072,0.22839214689929077,0.2994293957798833,0.2799486937144259,16s0.90.5
9,32s,0.1,0.5,0.691286267498176,0.3022043197315905,0.4607254991282841,0.48088988166608304,0.2782211465620142,0.27609144027694554,32s0.10.5
10,32s,0.2,0.5,0.8803900027235007,0.24032619288205134,0.21097471772489992,0.37984860275699195,0.14805060472779832,0.24246563484018074,32s0.20.5
11,32s,0.3,0.5,0.8512324863130688,0.2687804961673621,0.21692997086417734,0.37604946099724784,0.1538014766083718,0.22652461941024732,32s0.30.5
12,32s,0.4,0.5,0.9296521527356854,0.19788274197157074,0.09377682885410099,0.2548196521956825,0.0734091293595058,0.17713203811075462,32s0.40.5
13,32s,0.5,0.5,0.9283748043460363,0.19450135039224134,0.15100632492628419,0.29069106662315836,0.13929839620270784,0.24537004919257407,32s0.50.5
14,32s,0.6,0.5,0.8907837198065729,0.23812695575337053,0.15294196077444405,0.27619432040985986,0.15245261332370932,0.24931424792281534,32s0.60.5
15,32s,0.7,0.5,0.956652335136784,0.14663480809431703,0.09080621581495234,0.2158817890267616,0.09418601690504365,0.1993339081135908,32s0.70.5
16,32s,0.8,0.5,0.9636786555563402,0.12983133653526835,0.07706834637357605,0.18497319185179042,0.09042679183451266,0.20229514411989621,32s0.80.5
17,32s,0.9,0.5,0.9751355062388134,0.12389483295564918,0.07561774725010462,0.16260883654672215,0.1017189465128631,0.2111210493241022,32s0.90.5
18,8s,0.1,0.5,0.6301592331859017,0.32294680233950757,0.5861925756075523,0.5050930770618417,0.3173437418631789,0.2897875249181385,8s0.10.5
19,8s,0.2,0.5,0.7048282134260399,0.366950283230016,0.36145338796203497,0.44713306873897585,0.22830734159604346,0.25351887444468313,8s0.20.5
20,8s,0.3,0.5,0.7524809633088909,0.3607467501076226,0.28411261596218573,0.42735806471065907,0.17666996943541327,0.24677317093843612,8s0.30.5
21,8s,0.4,0.5,0.7110576616425105,0.3238043965783384,0.5415310180429057,0.38746004043547727,0.42591782430012015,0.24769668564222452,8s0.40.5
22,8s,0.5,0.5,0.7635663092001983,0.3011604321770418,0.44042564288540176,0.3902533912746157,0.3673492588277436,0.264039830760744,8s0.50.5
23,8s,0.6,0.5,0.7956970541820735,0.299320755449835,0.29093767021997385,0.360022431039631,0.2623474748465379,0.28871865406292585,8s0.60.5
24,8s,0.7,0.5,0.8781389484148592,0.2105811945726092,0.2624571308941435,0.31550961323967947,0.2759900383432993,0.2947168761567892,8s0.70.5
25,8s,0.8,0.5,0.958189443310834,0.1086006075919167,0.18304586287641467,0.2281512120019492,0.24277228681672208,0.2690626029991594,8s0.80.5
26,8s,0.9,0.5,0.9876160990712075,0.07220993058631951,0.17681082249792968,0.1973549860742797,0.2515879518266279,0.2605755087292218,8s0.90.5
27,sw_1000px,1.0,0.5,0.03720302342247883,0.04670966333773983,0.9446558902636203,0.18183870803443322,0.0677678953177814,0.07850850492901036,sw_1000px1.00.5
28,sw_1000px,2.0,0.5,0.06263365120211249,0.0689625901021582,0.9299894931623673,0.18963391072058514,0.1098268132423461,0.10808481782880001,sw_1000px2.00.5
29,sw_1000px,3.0,0.5,0.13607251014492536,0.11457585098010543,0.8359026528975815,0.24242163437437056,0.2148450299033621,0.14921642189079679,sw_1000px3.00.5
30,sw_1000px,4.0,0.5,0.20361313478849213,0.17314338517097855,0.6698270331486537,0.32059588344428447,0.26231197440814114,0.17345084303356642,sw_1000px4.00.5
31,sw_100px,1.0,0.5,0.46655807630246465,0.35728224364508293,0.44643082225594993,0.42433349950075194,0.20294499600624483,0.16938200742488574,sw_100px1.00.5
32,sw_100px,2.0,0.5,0.4725891297481186,0.33981413260499604,0.38330119022385,0.38189547460379464,0.22335428591141973,0.1928342660785929,sw_100px2.00.5
33,sw_100px,3.0,0.5,0.5373734532013658,0.34545623178752205,0.2736058479316685,0.31148145519433584,0.21553693570177043,0.20271493200916113,sw_100px3.00.5
34,sw_100px,4.0,0.5,0.5419502665070239,0.3475831429889814,0.17082361390043432,0.2232071543770295,0.1781748234400092,0.18228624818174724,sw_100px4.00.5
35,sw_200px,1.0,0.5,0.24494424121515795,0.2504119284130219,0.773603686851778,0.351166653801076,0.2367199172998513,0.13707526915143262,sw_200px1.00.5
36,sw_200px,2.0,0.5,0.3241828694975374,0.27947007970604304,0.6578641932489957,0.39078253362815907,0.2678692562004632,0.15584908174822523,sw_200px2.00.5
